2026-09-14 20:28:37.272 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CRBP: asof mismatch: CRBP has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BLIV: asof mismatch: BLIV has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RDZN: asof mismatch: RDZN has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RTAC: asof mismatch: RTAC has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MTNE: asof mismatch: MTNE has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MNKD: asof mismatch: MNKD has no bar on 2026-09-07
2026-09-14 20:28:37.273 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | JACS: asof mismatch: JACS has no bar on 2026-09-07
2026-09-14 20:28:37.274 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BNL: asof mismatch: BNL has no bar on 2026-09-07
2026-09-14 20:28:37.275 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | VTR: asof mismatch: VTR has no bar on 2026-09-07
2026-09-14 20:28:37.275 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ATCH: asof mismatch: ATCH has no bar on 2026-09-07
2026-09-14 20:28:37.275 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FCF: asof mismatch: FCF has no bar on 2026-09-07
2026-09-14 20:28:37.275 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ELOX: asof mismatch: ELOX has no bar on 2026-09-07
2026-09-14 20:28:37.275 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MBAK: asof mismatch: MBAK has no bar on 2026-09-07
2026-09-14 20:28:37.276 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SLNG: asof mismatch: SLNG has no bar on 2026-09-07
2026-09-14 20:28:37.276 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | GMM: asof mismatch: GMM has no bar on 2026-09-07
2026-09-14 20:28:37.276 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CLNE: asof mismatch: CLNE has no bar on 2026-09-07
2026-09-14 20:28:37.276 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | IBRX: asof mismatch: IBRX has no bar on 2026-09-07
2026-09-14 20:28:37.277 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SRRK: asof mismatch: SRRK has no bar on 2026-09-07
2026-09-14 20:28:37.277 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FRSH: asof mismatch: FRSH has no bar on 2026-09-07
2026-09-14 20:28:37.277 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | AUID: asof mismatch: AUID has no bar on 2026-09-07
2026-09-14 20:28:37.277 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | WTW: asof mismatch: WTW has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FORR: asof mismatch: FORR has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | AMR: asof mismatch: AMR has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BDCC: asof mismatch: BDCC has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ANNA: asof mismatch: ANNA has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | NODK: asof mismatch: NODK has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LIMX: asof mismatch: LIMX has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ATOM: asof mismatch: ATOM has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CTKB: asof mismatch: CTKB has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | DIN: asof mismatch: DIN has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | QFIN: asof mismatch: QFIN has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | TRSO: asof mismatch: TRSO has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HUBC: asof mismatch: HUBC has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | YOU: asof mismatch: YOU has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | INNV: asof mismatch: INNV has no bar on 2026-09-07
2026-09-14 20:28:37.307 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RYES: asof mismatch: RYES has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LKQ: asof mismatch: LKQ has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ORC: asof mismatch: ORC has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HUMA: asof mismatch: HUMA has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SAGT: asof mismatch: SAGT has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EGG: asof mismatch: EGG has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | APWL: asof mismatch: APWL has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SHPWQ: asof mismatch: SHPWQ has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | NPWR: asof mismatch: NPWR has no bar on 2026-09-07
