date,open,high,low,close,volume,rsi_14
2025-09-09,120.0,120.4,119.6,120.0,1000000.0,
2025-09-10,120.0,120.4,119.35,119.75,1000000.0,
2025-09-11,119.75,120.15,119.1,119.5,1000000.0,
2025-09-14,119.5,119.9,118.85,119.25,1000000.0,
2025-09-15,119.25,119.65,118.6,119.0,1000000.0,
2025-09-16,119.0,119.4,118.35,118.75,1000000.0,
2025-09-17,118.75,119.15,118.1,118.5,1000000.0,
2025-09-18,118.5,118.9,117.85,118.25,1000000.0,
2025-09-21,118.25,118.65,117.6,118.0,1000000.0,
2025-09-22,118.0,118.4,117.35,117.75,1000000.0,
2025-09-23,117.75,118.15,117.1,117.5,1000000.0,
2025-09-24,117.5,117.9,116.85,117.25,1000000.0,
2025-09-25,117.25,117.65,116.6,117.0,1000000.0,
2025-09-28,117.0,117.4,116.35,116.75,1000000.0,
2025-09-29,116.75,117.15,116.1,116.5,1000000.0,0.0
2025-09-30,116.5,116.9,115.85,116.25,1000000.0,0.0
2025-10-01,116.25,116.65,115.6,116.0,1000000.0,0.0
2025-10-02,116.0,116.4,115.35,115.75,1000000.0,0.0
2025-10-05,115.75,116.15,115.1,115.5,1000000.0,0.0
2025-10-06,115.5,115.9,114.85,115.25,1000000.0,0.0
2025-10-07,115.25,115.65,114.6,115.0,1000000.0,0.0
2025-10-08,115.0,115.4,114.35,114.75,1000000.0,0.0
2025-10-09,114.75,115.15,114.1,114.5,1000000.0,0.0
2025-10-12,114.5,114.9,113.85,114.25,1000000.0,0.0
2025-10-13,114.25,114.65,113.6,114.0,1000000.0,0.0
2025-10-14,114.0,114.4,113.35,113.75,1000000.0,0.0
2025-10-15,113.75,114.15,113.1,113.5,1000000.0,0.0
2025-10-16,113.5,113.9,112.85,113.25,1000000.0,0.0
2025-10-19,113.25,113.65,112.6,113.0,1000000.0,0.0
2025-10-20,113.0,113.4,112.35,112.75,1000000.0,0.0
2025-10-21,112.75,113.15,112.1,112.5,1000000.0,0.0
2025-10-22,112.5,112.9,111.85,112.25,1000000.0,0.0
2025-10-23,112.25,112.65,111.6,112.0,1000000.0,0.0
2025-10-26,112.0,112.4,111.35,111.75,1000000.0,0.0
2025-10-27,111.75,112.15,111.1,111.5,1000000.0,0.0
2025-10-28,111.5,111.9,110.85,111.25,1000000.0,0.0
2025-10-29,111.25,111.65,110.6,111.0,1000000.0,0.0
2025-10-30,111.0,111.4,110.35,110.75,1000000.0,0.0
2025-11-02,110.75,111.15,110.1,110.5,1000000.0,0.0
2025-11-03,110.5,110.9,109.85,110.25,1000000.0,0.0
2025-11-04,110.25,110.65,109.6,110.0,1000000.0,0.0
2025-11-05,110.0,110.4,109.35,109.75,1000000.0,0.0
2025-11-06,109.75,110.15,109.1,109.5,1000000.0,0.0
2025-11-09,109.5,109.9,108.85,109.25,1000000.0,0.0
2025-11-10,109.25,109.65,108.6,109.0,1000000.0,0.0
2025-11-11,109.0,109.4,108.35,108.75,1000000.0,0.0
2025-11-12,108.75,109.15,108.1,108.5,1000000.0,0.0
